State,State Abbreviation,Year,Gender,Education Level of Mother,Education Level Code,Number of Births,Average Age of Mother (years),Average Birth Weight (g),State Code,Division,Region
Alaska,AK,2021,M,9th through 12th grade with no diploma,2,389,25.1,3337.1,AK,West,Pacific
Alaska,AK,2021,M,High school graduate or GED completed,3,1482,26.7,3399.6,AK,West,Pacific
Alaska,AK,2021,M,"Some college credit, but not a degree",4,1161,28.4,3428.2,AK,West,Pacific
Alaska,AK,2021,M,"Associate degree (AA, AS)",5,383,30.2,3440.4,AK,West,Pacific
Alaska,AK,2021,M,"Bachelor's degree (BA, AB, BS)",6,893,31.7,3472.7,AK,West,Pacific
Alaska,AK,2021,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,334,33.8,3486.5,AK,West,Pacific
Alaska,AK,2021,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,98,33.9,3426.2,AK,West,Pacific
Alaska,AK,2021,M,Unknown or Not Stated,-9,90,29.1,3251.2,AK,West,Pacific
Arizona,AZ,2016,F,8th grade or less,1,1373,29.8,3215.0,AZ,West,Mountain
Arizona,AZ,2016,F,9th through 12th grade with no diploma,2,6069,24.8,3174.3,AZ,West,Mountain
Arizona,AZ,2016,F,High school graduate or GED completed,3,10386,26.2,3218.4,AZ,West,Mountain
Arizona,AZ,2016,F,"Some college credit, but not a degree",4,9871,27.7,3246.2,AZ,West,Mountain
Arizona,AZ,2016,F,"Associate degree (AA, AS)",5,3589,29.4,3233.9,AZ,West,Mountain
Arizona,AZ,2016,F,"Bachelor's degree (BA, AB, BS)",6,6783,31.1,3266.6,AZ,West,Mountain
Arizona,AZ,2016,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2459,32.7,3242.4,AZ,West,Mountain
Arizona,AZ,2016,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,745,33.5,3246.4,AZ,West,Mountain
Arizona,AZ,2016,F,Unknown or Not Stated,-9,239,27.6,3079.6,AZ,West,Mountain
Arizona,AZ,2016,M,8th grade or less,1,1378,29.4,3309.0,AZ,West,Mountain
Arizona,AZ,2016,M,9th through 12th grade with no diploma,2,6283,24.9,3280.5,AZ,West,Mountain
Arizona,AZ,2016,M,High school graduate or GED completed,3,10905,26.2,3303.6,AZ,West,Mountain
Arizona,AZ,2016,M,"Some college credit, but not a degree",4,10214,27.6,3349.6,AZ,West,Mountain
Arizona,AZ,2016,M,"Associate degree (AA, AS)",5,3584,29.5,3369.7,AZ,West,Mountain
Arizona,AZ,2016,M,"Bachelor's degree (BA, AB, BS)",6,7016,31.1,3399.4,AZ,West,Mountain
Arizona,AZ,2016,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2525,32.8,3377.1,AZ,West,Mountain
Arizona,AZ,2016,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,789,33.6,3315.4,AZ,West,Mountain
Arizona,AZ,2016,M,Unknown or Not Stated,-9,312,28.2,3247.8,AZ,West,Mountain
Arizona,AZ,2017,F,8th grade or less,1,1226,29.5,3248.9,AZ,West,Mountain
Arizona,AZ,2017,F,9th through 12th grade with no diploma,2,5726,25.0,3192.4,AZ,West,Mountain
Arizona,AZ,2017,F,High school graduate or GED completed,3,10473,26.4,3204.5,AZ,West,Mountain
Arizona,AZ,2017,F,"Some college credit, but not a degree",4,9479,27.9,3220.5,AZ,West,Mountain
Arizona,AZ,2017,F,"Associate degree (AA, AS)",5,3344,29.8,3246.5,AZ,West,Mountain
Arizona,AZ,2017,F,"Bachelor's degree (BA, AB, BS)",6,6392,31.2,3272.3,AZ,West,Mountain
Arizona,AZ,2017,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2601,32.8,3245.5,AZ,West,Mountain
Arizona,AZ,2017,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,759,33.6,3231.4,AZ,West,Mountain
Arizona,AZ,2017,F,Unknown or Not Stated,-9,273,28.3,3124.9,AZ,West,Mountain
Arizona,AZ,2017,M,8th grade or less,1,1291,29.8,3300.8,AZ,West,Mountain
Arizona,AZ,2017,M,9th through 12th grade with no diploma,2,5831,24.8,3271.5,AZ,West,Mountain
Arizona,AZ,2017,M,High school graduate or GED completed,3,11019,26.3,3311.8,AZ,West,Mountain
Arizona,AZ,2017,M,"Some college credit, but not a degree",4,9739,27.8,3346.8,AZ,West,Mountain
Arizona,AZ,2017,M,"Associate degree (AA, AS)",5,3412,29.8,3360.9,AZ,West,Mountain
Arizona,AZ,2017,M,"Bachelor's degree (BA, AB, BS)",6,6627,31.2,3395.9,AZ,West,Mountain
